srcStateName,srcYear,Meat production,Milk production,Egg production,Fish production,Wool production,YearCode,Year
Himachal Pradesh,2017-18,4,1392,981,0.13,1482,2017,"Calendar Year (Jan - Dec), 2017"
Jammu and Kashmir,2017-18,87,2460,2334,0.21,7489,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,2017-18,58,2016,5531,1.9,187,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,2017-18,228,7137,55661,6.03,4305,2017,"Calendar Year (Jan - Dec), 2017"
Kerala,2017-18,469,2576,23481,5.63,,2017,"Calendar Year (Jan - Dec), 2017"
Lakshadweep,2017-18,0,4,142,0.21,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,2017-18,89,14713,19422,1.43,408,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,2017-18,925,11102,56991,6.06,1437,2017,"Calendar Year (Jan - Dec), 2017"
Manipur,2017-18,28,82,1018,0.33,,2017,"Calendar Year (Jan - Dec), 2017"
Meghalaya,2017-18,43,85,1074,0.12,,2017,"Calendar Year (Jan - Dec), 2017"
Mizoram,2017-18,16,25,410,0.08,,2017,"Calendar Year (Jan - Dec), 2017"
Nagaland,2017-18,32,74,401,0.09,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,2017-18,183,2088,20622,6.85,,2017,"Calendar Year (Jan - Dec), 2017"
Puducherry,2017-18,15,49,114,0.5,,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,2017-18,276,11855,52250,1.37,515,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,2017-18,188,22427,14548,0.54,14287,2017,"Calendar Year (Jan - Dec), 2017"
Sikkim,2017-18,4,59,63,0,0,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,2017-18,603,7742,174161,6.82,2,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,2017-18,645,4965,126700,2.7,4506,2017,"Calendar Year (Jan - Dec), 2017"
Tripura,2017-18,45,174,2621,0.77,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,2017-18,1151,29052,24398,0.05,1300,2017,"Calendar Year (Jan - Dec), 2017"
Uttarakhand,2017-18,29,1742,4298,6.29,564,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,2017-18,773,5389,76434,17.42,758,2017,"Calendar Year (Jan - Dec), 2017"
Andaman and Nicobar Islands,2018-19,5,18,1139,0.41,,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018-19,781,15044,197545,39.92,797,2018,"Calendar Year (Jan - Dec), 2018"
Arunachal Pradesh,2018-19,22,55,595,0.05,43,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018-19,50,882,5015,3.32,,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018-19,365,9818,17633,6.02,312,2018,"Calendar Year (Jan - Dec), 2018"
Chandigarh,2018-19,1,45,164,0,,2018,"Calendar Year (Jan - Dec), 2018"
Chhattisgarh,2018-19,61,1567,18927,4.7,82,2018,"Calendar Year (Jan - Dec), 2018"
Dadra & Nagar Haveli,2018-19,,,0,0,,2018,"Calendar Year (Jan - Dec), 2018"
Daman & Diu,2018-19,,1,5,0.05,,2018,"Calendar Year (Jan - Dec), 2018"
Delhi,2018-19,,,0,0.01,,2018,"Calendar Year (Jan - Dec), 2018"
Goa,2018-19,8,57,327,1.2,,2018,"Calendar Year (Jan - Dec), 2018"
Gujarat,2018-19,33,14493,18544,7.25,2271,2018,"Calendar Year (Jan - Dec), 2018"
Haryana,2018-19,512,10726,60577,2.18,719,2018,"Calendar Year (Jan - Dec), 2018"
Himachal Pradesh,2018-19,5,1460,1007,0.13,1503,2018,"Calendar Year (Jan - Dec), 2018"
Jammu and Kashmir,2018-19,92,2540,2349,0.22,7629,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018-19,62,2183,6379,2.08,199,2018,"Calendar Year (Jan - Dec), 2018"
Karnataka,2018-19,254,7901,59994,5.87,3058,2018,"Calendar Year (Jan - Dec), 2018"
Kerala,2018-19,457,2548,22906,7.14,,2018,"Calendar Year (Jan - Dec), 2018"
Lakshadweep,2018-19,0,4,142,0.22,,2018,"Calendar Year (Jan - Dec), 2018"
Madhya Pradesh,2018-19,97,15911,21432,1.73,410,2018,"Calendar Year (Jan - Dec), 2018"
Maharashtra,2018-19,1021,11655,59649,5.83,1457,2018,"Calendar Year (Jan - Dec), 2018"
