srcStateName,srcYear,TRU,Gender,Unemployment Rate per 1000 population,YearCode,Year
Madhya Pradesh,2017-18,Urban,Overall,77,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,2017-18,Urban,Overall,74,2017,"Calendar Year (Jan - Dec), 2017"
Manipur,2017-18,Urban,Overall,114,2017,"Calendar Year (Jan - Dec), 2017"
Meghalaya,2017-18,Urban,Overall,67,2017,"Calendar Year (Jan - Dec), 2017"
Mizoram,2017-18,Urban,Overall,144,2017,"Calendar Year (Jan - Dec), 2017"
Nagaland,2017-18,Urban,Overall,211,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,2017-18,Urban,Overall,83,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,2017-18,Urban,Overall,77,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,2017-18,Urban,Overall,72,2017,"Calendar Year (Jan - Dec), 2017"
Sikkim,2017-18,Urban,Overall,58,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,2017-18,Urban,Overall,72,2017,"Calendar Year (Jan - Dec), 2017"
Tripura,2017-18,Urban,Overall,87,2017,"Calendar Year (Jan - Dec), 2017"
Uttarakhand,2017-18,Urban,Overall,95,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,2017-18,Urban,Overall,97,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,2017-18,Urban,Overall,65,2017,"Calendar Year (Jan - Dec), 2017"
Andaman and Nicobar Islands,2017-18,Urban,Overall,174,2017,"Calendar Year (Jan - Dec), 2017"
Chandigarh,2017-18,Urban,Overall,92,2017,"Calendar Year (Jan - Dec), 2017"
Dadra & Nagar Haveli,2017-18,Urban,Overall,1,2017,"Calendar Year (Jan - Dec), 2017"
Daman & Diu,2017-18,Urban,Overall,26,2017,"Calendar Year (Jan - Dec), 2017"
Lakshadweep,2017-18,Urban,Overall,253,2017,"Calendar Year (Jan - Dec), 2017"
Puducherry,2017-18,Urban,Overall,103,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,2017-18,Rural,Overall,53,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,2017-18,Rural,Overall,36,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,2017-18,Urban,Female,91,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,2017-18,Urban,Female,206,2017,"Calendar Year (Jan - Dec), 2017"
Assam,2017-18,Urban,Female,114,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,2017-18,Urban,Female,62,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,2017-18,Urban,Female,114,2017,"Calendar Year (Jan - Dec), 2017"
Delhi,2017-18,Urban,Female,114,2017,"Calendar Year (Jan - Dec), 2017"
Goa,2017-18,Urban,Female,298,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,2017-18,Urban,Female,43,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,2017-18,Urban,Female,120,2017,"Calendar Year (Jan - Dec), 2017"
Himachal Pradesh,2017-18,Urban,Female,137,2017,"Calendar Year (Jan - Dec), 2017"
Jammu & Kashmir,2017-18,Urban,Female,229,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,2017-18,Urban,Female,115,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,2017-18,Urban,Female,72,2017,"Calendar Year (Jan - Dec), 2017"
Kerala,2017-18,Urban,Female,275,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,2017-18,Urban,Female,69,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,2017-18,Urban,Female,115,2017,"Calendar Year (Jan - Dec), 2017"
Manipur,2017-18,Urban,Female,123,2017,"Calendar Year (Jan - Dec), 2017"
Meghalaya,2017-18,Urban,Female,89,2017,"Calendar Year (Jan - Dec), 2017"
Mizoram,2017-18,Urban,Female,177,2017,"Calendar Year (Jan - Dec), 2017"
Nagaland,2017-18,Urban,Female,364,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,2017-18,Urban,Female,127,2017,"Calendar Year (Jan - Dec), 2017"
