srcStateName,srcYear,Credit to agriculture by Scheduled Commercial Banks,Personal loans by Scheduled Commercial Banks,Credit to industry by Scheduled Commercial Banks,Credit by Scheduled Commercial Banks in India,Distribution of offices of Scheduled Commercial Banks,Deposits of Regional Rural Banks,Credit-Deposit ratio of Scheduled Commercial Banks according to place of utilisation,Credit-Deposit ratio of Regional Rural Banks,Credit-Deposit ratio of Scheduled Commercial Banks according to place of sanction,Deposits by Scheduled Commercial Banks in India,Credit of Regional Rural Banks,Number of Branches of Regional Rural Banks,YearCode,Year
Madhya Pradesh,2011,21100,17400,25700,76800,4453,10100,60.1,52.1,55.6,138100,5300,1094,2011,"Financial Year (Apr - Mar), 2011"
Maharashtra,2011,37600,121300,465700,1206600,8816,4700,75.0,52.9,83.0,1453300,2500,583,2011,"Financial Year (Apr - Mar), 2011"
Manipur,2011,200,700,100,1200,83,100,36.6,34.7,34.8,3400,,27,2011,"Financial Year (Apr - Mar), 2011"
Meghalaya,2011,200,1000,900,2300,221,700,29.6,31.9,24.4,9600,200,55,2011,"Financial Year (Apr - Mar), 2011"
Mizoram,2011,200,800,100,1200,100,400,49.8,54.0,46.0,2500,200,59,2011,"Financial Year (Apr - Mar), 2011"
Nagaland,2011,100,800,200,1400,95,0,27.5,26.2,26.1,5200,,8,2011,"Financial Year (Apr - Mar), 2011"
Odisha,2011,10400,12600,18400,54000,3029,8900,55.7,54.4,52.5,102800,4800,874,2011,"Financial Year (Apr - Mar), 2011"
Puducherry,2011,700,1600,700,4300,159,100,63.7,106.5,62.7,6900,100,25,2011,"Financial Year (Apr - Mar), 2011"
Punjab,2011,26300,17900,64400,119000,3895,3000,92.9,69.4,77.8,152800,2100,251,2011,"Financial Year (Apr - Mar), 2011"
Rajasthan,2011,26800,20800,49500,115700,4507,9800,95.8,71.8,90.4,128000,7100,1049,2011,"Financial Year (Apr - Mar), 2011"
Sikkim,2011,0,700,1000,1200,82,,62.4,,37.9,3300,,,2011,"Financial Year (Apr - Mar), 2011"
Tripura,2011,400,1200,300,2800,247,2300,33.2,44.0,32.2,8600,1000,113,2011,"Financial Year (Apr - Mar), 2011"
Uttar Pradesh,2011,43600,34100,54100,163300,11040,35400,48.2,46.5,44.0,371500,16400,3092,2011,"Financial Year (Apr - Mar), 2011"
Uttarakhand,2011,3600,5500,5500,17200,1278,1600,39.1,55.5,35.4,48700,900,190,2011,"Financial Year (Apr - Mar), 2011"
West Bengal,2011,15400,27400,91400,200100,5678,9800,65.1,45.2,63.7,314200,4400,886,2011,"Financial Year (Apr - Mar), 2011"
Chandigarh,2011,6600,5000,17500,46200,337,,119.8,,121.6,38000,,,2011,"Financial Year (Apr - Mar), 2011"
Himachal Pradesh,2012,2800,4100,5700,14800,1164,1900,45.0,42.8,38.9,38000,800,160,2012,"Financial Year (Apr - Mar), 2012"
Jammu and Kashmir,2012,1600,5700,3000,16900,1198,2300,34.1,38.8,33.8,50000,900,263,2012,"Financial Year (Apr - Mar), 2012"
Jharkhand,2012,3300,8900,9700,29800,2180,3700,34.3,35.0,33.9,87900,1300,416,2012,"Financial Year (Apr - Mar), 2012"
Karnataka,2012,45200,71800,105900,292800,7137,,74.7,87.0,71.4,410100,13100,1272,2012,"Financial Year (Apr - Mar), 2012"
Kerala,2012,28900,50300,18400,153200,5006,15000,75.7,111.2,76.4,200600,6100,404,2012,"Financial Year (Apr - Mar), 2012"
Lakshadweep,2012,0,,0,100,12,3400,9.6,,9.7,600,,,2012,"Financial Year (Apr - Mar), 2012"
Madhya Pradesh,2012,27000,20500,29800,94500,4805,11200,60.7,53.1,56.6,166900,5900,1106,2012,"Financial Year (Apr - Mar), 2012"
Maharashtra,2012,44000,135800,542000,1404700,9608,5600,82.5,59.5,91.8,1529900,3300,630,2012,"Financial Year (Apr - Mar), 2012"
Manipur,2012,300,700,100,1300,94,100,33.2,27.1,31.3,4100,,27,2012,"Financial Year (Apr - Mar), 2012"
Meghalaya,2012,300,1100,1000,2900,237,800,28.2,34.4,25.8,11100,300,55,2012,"Financial Year (Apr - Mar), 2012"
Mizoram,2012,200,900,100,1300,111,900,41.9,41.7,38.9,3400,400,58,2012,"Financial Year (Apr - Mar), 2012"
Nagaland,2012,200,900,300,1600,108,100,47.6,28.0,27.2,5700,,9,2012,"Financial Year (Apr - Mar), 2012"
Odisha,2012,10000,13800,21000,58800,3319,9700,50.6,58.2,47.3,124500,5600,875,2012,"Financial Year (Apr - Mar), 2012"
Puducherry,2012,1000,1900,900,5500,171,100,69.9,120.0,71.5,7700,200,25,2012,"Financial Year (Apr - Mar), 2012"
Punjab,2012,31200,18600,56500,139900,4346,3500,83.2,74.8,80.9,172900,2600,277,2012,"Financial Year (Apr - Mar), 2012"
Rajasthan,2012,33200,22700,56400,136900,4936,11400,96.1,72.3,90.9,150600,8200,1100,2012,"Financial Year (Apr - Mar), 2012"
Daman & Diu,2020,,,,,,,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
Sikkim,2012,0,700,1100,1300,89,,57.9,,33.1,4000,,,2012,"Financial Year (Apr - Mar), 2012"
Tamil Nadu,2012,74800,89200,186400,466200,7641,5500,119.5,128.8,116.9,398900,4300,336,2012,"Financial Year (Apr - Mar), 2012"
Tripura,2012,500,1400,300,3300,271,2800,31.7,42.4,31.3,10400,1200,113,2012,"Financial Year (Apr - Mar), 2012"
Uttar Pradesh,2012,53300,37300,64800,189700,12096,39200,47.4,51.9,44.0,431000,20400,3171,2012,"Financial Year (Apr - Mar), 2012"
Uttarakhand,2012,4200,6100,6800,20100,1450,1800,39.0,55.1,35.6,56400,1000,214,2012,"Financial Year (Apr - Mar), 2012"
West Bengal,2012,18700,26200,117100,238800,6061,10900,65.1,48.3,63.8,373900,5200,905,2012,"Financial Year (Apr - Mar), 2012"
