ROWID,Country,State lgd code,State,YearCode,Year,Gross sown area ,Net sown area,Gross irrigated area ,Net irrigated area ,Cropping intensity (%)
226,India,9,Uttar Pradesh,2013,"Calendar Year (Jan - Dec), 2013",25896,16546,20403,14027,156.5
227,India,9,Uttar Pradesh,2014,"Calendar Year (Jan - Dec), 2014",26147,16598,20965,14389,157.5
228,India,9,Uttar Pradesh,2015,"Calendar Year (Jan - Dec), 2015",26203,16469,20882,14231,159.1
229,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",26949,16564,21633,14337,162.7
230,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",26864,16542,21596,14332,162.4
231,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",26859,16538,21681,14392,162.4
232,India,9,Uttar Pradesh,2019,"Calendar Year (Jan - Dec), 2019",,,,,
233,India,10,Bihar,1991,"Calendar Year (Jan - Dec), 1991",10148,7715,4157,3354,131.5
234,India,10,Bihar,1992,"Calendar Year (Jan - Dec), 1992",9356,7162,4040,3344,130.6
235,India,10,Bihar,1993,"Calendar Year (Jan - Dec), 1993",9748,7267,4212,3453,134.1
236,India,10,Bihar,1994,"Calendar Year (Jan - Dec), 1994",9871,7380,4403,3535,133.8
237,India,10,Bihar,1995,"Calendar Year (Jan - Dec), 1995",10020,7321,4581,3680,136.9
238,India,10,Bihar,1996,"Calendar Year (Jan - Dec), 1996",10141,7337,4664,3624,138.2
239,India,10,Bihar,1997,"Calendar Year (Jan - Dec), 1997",10014,7411,4577,3508,135.1
240,India,10,Bihar,1998,"Calendar Year (Jan - Dec), 1998",10053,7431,4752,3682,135.3
241,India,10,Bihar,1999,"Calendar Year (Jan - Dec), 1999",9979,7437,4808,3625,134.2
242,India,10,Bihar,2000,"Calendar Year (Jan - Dec), 2000",7992,5663,4561,3429,141.1
243,India,10,Bihar,2001,"Calendar Year (Jan - Dec), 2001",7897,5664,4539,3462,139.4
244,India,10,Bihar,2002,"Calendar Year (Jan - Dec), 2002",7957,5725,4572,3462,139
245,India,10,Bihar,2003,"Calendar Year (Jan - Dec), 2003",7882,5712,4567,3433,138
246,India,10,Bihar,2004,"Calendar Year (Jan - Dec), 2004",7399,5572,4197,3034,132.8
247,India,10,Bihar,2005,"Calendar Year (Jan - Dec), 2005",7396,5556,4325,3161,133.1
248,India,10,Bihar,2006,"Calendar Year (Jan - Dec), 2006",7719,5665,4646,3462,136.3
249,India,10,Bihar,2007,"Calendar Year (Jan - Dec), 2007",7765,5662,4725,3529,137.1
250,India,10,Bihar,2008,"Calendar Year (Jan - Dec), 2008",7671,5554,4692,3536,138.1
251,India,10,Bihar,2009,"Calendar Year (Jan - Dec), 2009",7296,5332,4433,3064,136.8
